STATE/UT,district,murders,year
"A & N ISLANDS",NICOBAR,0,2001
"A & N ISLANDS",ANDAMAN,14,2002
"A & N ISLANDS",ANDAMAN,16,2003
"A & N ISLANDS",ANDAMAN,13,2004
"A & N ISLANDS",NICOBAR,0,2005
"A & N ISLANDS",ANDAMAN,3,2006
"A & N ISLANDS",NICOBAR,0,2008
"A & N ISLANDS",NICOBAR,0,2009
"A & N ISLANDS",ANDAMAN,8,2010
"A & N ISLANDS",NICOBAR,0,2011
"A & N ISLANDS",SOUTH,8,2012
"ANDHRA PRADESH","RANGA REDDY",214,2001
"ANDHRA PRADESH","RANGA REDDY",214,2002
"ANDHRA PRADESH",GUNTUR,210,2003
"ANDHRA PRADESH",MAHABOOBNAGAR,183,2004
"ANDHRA PRADESH",MAHABOOBNAGAR,212,2005
"ANDHRA PRADESH",CYBERABAD,193,2006
"ANDHRA PRADESH",CYBERABAD,186,2007
"ANDHRA PRADESH",CYBERABAD,197,2008
"ANDHRA PRADESH",CYBERABAD,186,2009
"ANDHRA PRADESH",CYBERABAD,187,2010
"ANDHRA PRADESH",CYBERABAD,213,2011
"ANDHRA PRADESH",CYBERABAD,198,2012
"ARUNACHAL PRADESH",LOHIT,16,2001
"ARUNACHAL PRADESH",LOHIT,14,2002
"ARUNACHAL PRADESH",LOHIT,16,2003
"ARUNACHAL PRADESH","SUBANSIRI UPPER",10,2004
"ARUNACHAL PRADESH",LOHIT,10,2004
"ARUNACHAL PRADESH",LOHIT,14,2005
"ARUNACHAL PRADESH","PAPUM PARE",10,2006
"ARUNACHAL PRADESH",LOHIT,17,2007
"ARUNACHAL PRADESH",LOHIT,11,2008
"ARUNACHAL PRADESH","PAPUM PARE",11,2008
"ARUNACHAL PRADESH","SIANG WEST",11,2009
"ARUNACHAL PRADESH","SIANG WEST",9,2010
"ARUNACHAL PRADESH",LOHIT,12,2011
"ARUNACHAL PRADESH",LOHIT,11,2012
ASSAM,DIBRUGARH,110,2001
ASSAM,TINSUKIA,115,2002
ASSAM,DIBRUGARH,107,2003
ASSAM,DIBRUGARH,125,2004
ASSAM,DIBRUGARH,113,2005
ASSAM,DIBRUGARH,104,2006
ASSAM,TINSUKIA,143,2007
ASSAM,TINSUKIA,114,2008
ASSAM,SONITPUR,109,2009
ASSAM,TINSUKIA,96,2010
ASSAM,TINSUKIA,98,2011
ASSAM,KOKRAJHAR,110,2012
BIHAR,PATNA,434,2001
BIHAR,PATNA,472,2002
BIHAR,PATNA,484,2003
BIHAR,PATNA,542,2004
BIHAR,PATNA,436,2005
BIHAR,PATNA,338,2006
BIHAR,PATNA,317,2007
BIHAR,PATNA,341,2008
BIHAR,PATNA,314,2009
BIHAR,PATNA,304,2010
BIHAR,PATNA,248,2011
BIHAR,PATNA,356,2012
CHHATTISGARH,SARGUJA,105,2001
CHHATTISGARH,SARGUJA,101,2002
CHHATTISGARH,BILASPUR,95,2003
CHHATTISGARH,SARGUJA,111,2004
CHHATTISGARH,BILASPUR,94,2005
CHHATTISGARH,BIZAPUR,139,2006
CHHATTISGARH,BIZAPUR,113,2007
CHHATTISGARH,BILASPUR,112,2008
CHHATTISGARH,RAIPUR,112,2008
CHHATTISGARH,RAIPUR,101,2009
CHHATTISGARH,BILASPUR,106,2010
CHHATTISGARH,BILASPUR,112,2011
CHHATTISGARH,BILASPUR,74,2012
"DAMAN & DIU",DAMAN,6,2001
"DAMAN & DIU",DAMAN,7,2002
"DAMAN & DIU",DIU,0,2003
"DAMAN & DIU",DAMAN,2,2004
"DAMAN & DIU",DAMAN,4,2005
"DAMAN & DIU",DIU,0,2006
"DAMAN & DIU",DIU,0,2007
"DAMAN & DIU",DIU,0,2008
"DAMAN & DIU",DIU,0,2009
"DAMAN & DIU",DIU,0,2010
"DAMAN & DIU",DIU,0,2011
"DAMAN & DIU",DIU,0,2012
"DELHI UT","NORTH WEST",134,2001
"DELHI UT","NORTH WEST",135,2002
"DELHI UT","NORTH WEST",106,2003
"DELHI UT","NORTH WEST",129,2004
"DELHI UT",NORTH-WEST,128,2005
"DELHI UT",NORTH-WEST,128,2006
"DELHI UT",OUTER,102,2007
"DELHI UT",NORTH-EAST,92,2008
"DELHI UT",OUTER,74,2009
"DELHI UT",NORTH-EAST,74,2009
"DELHI UT",OUTER,98,2010
"DELHI UT",OUTER,84,2011
"DELHI UT",OUTER,96,2012
GOA,"NORTH GOA",22,2001
GOA,"NORTH GOA",18,2002
GOA,"NORTH GOA",22,2003
GOA,"NORTH GOA",23,2004
GOA,"SOUTH GOA",23,2005
GOA,"NORTH GOA",24,2006
GOA,"SOUTH GOA",18,2007
GOA,"NORTH GOA",26,2008
GOA,"NORTH GOA",33,2009
GOA,"NORTH GOA",25,2010
GOA,"NORTH GOA",33,2011
GOA,"NORTH GOA",28,2012
GUJARAT,"SURAT COMMR.",98,2001
GUJARAT,"AHMEDABAD COMMR.",222,2002
GUJARAT,"AHMEDABAD COMMR.",90,2003
GUJARAT,"AHMEDABAD COMMR.",92,2004
GUJARAT,"SURAT COMMR.",86,2005
GUJARAT,"SURAT COMMR.",103,2006
GUJARAT,"SURAT COMMR.",108,2007
GUJARAT,"SURAT COMMR.",97,2008
GUJARAT,"SURAT COMMR.",101,2009
GUJARAT,"SURAT COMMR.",87,2010
GUJARAT,"SURAT COMMR.",100,2011
GUJARAT,"SURAT COMMR.",98,2012
HARYANA,SONIPAT,73,2001
HARYANA,SONIPAT,82,2002
HARYANA,SONIPAT,62,2003
HARYANA,GURGAON,62,2003
HARYANA,FARIDABAD,67,2004
HARYANA,SONIPAT,67,2004
HARYANA,FARIDABAD,76,2005
